index,voted
0,0.6336
1,0.7556
2,0.5757
3,0.6864
4,0.6665
5,0.5177
6,0.7601
7,0.5393
8,0.6252
9,0.5093
10,0.5942
11,0.681
12,0.5402
13,0.5047
14,0.5889
15,0.8225
16,0.7321
17,0.6354
18,0.5097
19,0.5592
20,0.5528
21,0.5144
22,0.6632
23,0.6006
24,0.6567
25,0.7257
26,0.8223
27,0.5472
28,0.5747
29,0.6199
30,0.5114
31,0.6829
32,0.6397
33,0.5289
34,0.517
35,0.704
36,0.6186
37,0.5205
38,0.5738
39,0.5772
40,0.5793
41,0.7716
42,0.7312
43,0.6101
44,0.8227
45,0.6151
46,0.6608
47,0.8202
48,0.542
49,0.7515
50,0.6483
51,0.7674
52,0.5605
53,0.728
54,0.8216
55,0.5767
56,0.5567
57,0.5685
58,0.7257
59,0.6132
60,0.7848
61,0.5405
62,0.5142
63,0.5474
64,0.6189
65,0.6752
66,0.5555
67,0.5941
68,0.5458
69,0.5154
70,0.6554
71,0.504
72,0.6325
73,0.6772
74,0.7553
75,0.5954
76,0.6187
77,0.6419
78,0.5662
79,0.5958
80,0.819
81,0.5716
82,0.5341
83,0.5723
84,0.6831
85,0.5639
86,0.7024
87,0.5792
88,0.6086
89,0.6455
90,0.8214
91,0.5891
92,0.6377
93,0.6345
94,0.5458
95,0.7193
96,0.5214
97,0.7444
98,0.5401
99,0.55
100,0.6295
101,0.5704
102,0.679
103,0.5835
104,0.6255
105,0.589
106,0.606
107,0.5516
108,0.6976
109,0.6379
110,0.5575
111,0.6356
112,0.7361
113,0.7181
114,0.7377
115,0.8226
116,0.5666
117,0.6281
118,0.6604
119,0.6513
120,0.5924
121,0.6878
122,0.8239
123,0.6576
124,0.6023
125,0.5625
126,0.8215
127,0.6872
128,0.8212
129,0.5412
130,0.5909
131,0.5558
132,0.6269
133,0.6961
134,0.8267
135,0.7741
136,0.648
137,0.7035
138,0.6324
139,0.8208
140,0.5197
141,0.7498
142,0.668
143,0.5852
144,0.5281
145,0.5321
146,0.6853
147,0.6307
148,0.5093
149,0.5246
150,0.5556
151,0.5899
152,0.6686
153,0.5208
154,0.6161
155,0.5106
156,0.7245
157,0.5023
158,0.8224
159,0.5173
160,0.7182
161,0.5892
162,0.6076
163,0.5102
164,0.6001
165,0.5542
166,0.5108
167,0.6463
168,0.5831
169,0.8249
170,0.8275
171,0.5762
172,0.5579
173,0.689
174,0.687
175,0.6897
176,0.7084
177,0.5302
178,0.6896
179,0.8214
180,0.824
181,0.5479
182,0.8095
183,0.5727
184,0.6484
185,0.5877
186,0.5109
187,0.6641
188,0.7011
189,0.5627
190,0.5532
191,0.6055
192,0.6639
193,0.6265
194,0.5388
195,0.6372
196,0.5859
197,0.6836
198,0.6089
199,0.5155
200,0.6297
201,0.5308
202,0.6145
203,0.6191
204,0.821
205,0.6745
206,0.5906
207,0.6421
208,0.6652
209,0.6697
210,0.8277
211,0.5069
212,0.6387
213,0.8244
214,0.5997
215,0.5276
216,0.6816
217,0.5712
218,0.647
219,0.6549
220,0.5125
221,0.5882
222,0.7087
223,0.6627
224,0.529
225,0.6171
226,0.579
227,0.823
228,0.503
229,0.5642
230,0.5693
231,0.5927
232,0.617
233,0.6837
234,0.8228
235,0.656
236,0.8202
237,0.6982
238,0.7036
239,0.568
240,0.6612
241,0.5061
242,0.6433
243,0.6385
244,0.534
245,0.601
246,0.5934
247,0.5918
248,0.6062
249,0.7001
250,0.71
251,0.5374
252,0.5594
253,0.5893
254,0.6607
255,0.614
256,0.6638
257,0.595
258,0.7224
259,0.5661
260,0.8213
261,0.5259
262,0.5994
263,0.5942
264,0.5784
265,0.6216
266,0.7178
267,0.7447
268,0.5268
269,0.7321
270,0.6364
271,0.5329
272,0.524
273,0.6364
274,0.5908
275,0.5228
276,0.8233
277,0.8226
278,0.5192
279,0.6257
280,0.5782
281,0.711
282,0.6416
283,0.5234
284,0.6023
285,0.5068
286,0.6238
287,0.5726
288,0.6402
289,0.7143
290,0.6739
291,0.667
292,0.6369
293,0.5649
294,0.5013
295,0.5498
296,0.6125
297,0.7041
298,0.5789
299,0.717
300,0.7239
301,0.6806
302,0.6882
303,0.5348
304,0.8222
305,0.7251
306,0.5057
307,0.5393
308,0.5066
309,0.6539
310,0.5464
311,0.6791
312,0.5834
313,0.6983
314,0.5648
315,0.822
316,0.5072
317,0.5244
318,0.552
319,0.5948
320,0.5009
321,0.5149
322,0.6235
323,0.5829
324,0.5441
325,0.5814
326,0.5892
327,0.5272
328,0.6476
329,0.7631
330,0.8233
331,0.6251
332,0.5638
333,0.6539
334,0.8251
335,0.6828
336,0.5655
337,0.5991
338,0.5164
339,0.7563
340,0.75
341,0.6454
342,0.6853
343,0.6779
344,0.5565
345,0.6402
346,0.5963
347,0.7179
348,0.6551
349,0.6193
