index,QaA,QaE,QbA,QbE,QcA,QcE,QdA,QdE,QeA,QeE,QfA,QfE,QgA,QgE,QhA,QhE,QiA,QiE,QjA,QjE,QkA,QkE,QlA,QlE,QmA,QmE,QnA,QnE,QoA,QoE,QpA,QpE,QqA,QqE,QrA,QrE,QsA,QsE,QtA,QtE,age_group,education,engnat,familysize,gender,hand,married,race,religion,tp01,tp02,tp03,tp04,tp05,tp06,tp07,tp08,tp09,tp10,urban,voted,wf_01,wf_02,wf_03,wr_01,wr_02,wr_03,wr_04,wr_05,wr_06,wr_07,wr_08,wr_09,wr_10,wr_11,wr_12,wr_13
0,3.0,363,4.0,1370,5.0,997,1.0,1024,2.0,1577,5.0,539,2.0,586,4.0,1095,5.0,1142,4.0,1287,4.0,883,4.0,851,2.0,851,5.0,816,2.0,579,2.0,924,2.0,366,2.0,876,2.0,633,1.0,1115,30s,2,1,4,Female,1,3,White,Other,2,2,2,1,2,1,7,4,4,3,1,2,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1
1,5.0,647,5.0,1313,3.0,3387,5.0,2969,1.0,4320,3.0,2190,1.0,826,1.0,4082,5.0,1867,3.0,1264,5.0,2943,4.0,3927,1.0,4329,5.0,1828,1.0,1214,5.0,2414,5.0,1356,1.0,3039,4.0,4304,1.0,1346,20s,4,2,3,Female,1,1,Asian,Hindu,1,1,0,0,1,2,3,4,0,4,3,2,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1
2,4.0,1623,1.0,1480,1.0,1021,4.0,3374,5.0,1333,1.0,531,4.0,1167,1.0,1016,3.0,2653,2.0,1569,5.0,998,5.0,2547,2.0,918,4.0,2153,2.0,1304,1.0,1131,5.0,937,4.0,1327,1.0,1170,1.0,1409,30s,3,1,3,Male,1,2,White,Other,2,3,1,5,3,4,2,6,1,3,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1
3,3.0,504,3.0,2311,4.0,992,3.0,3245,1.0,357,2.0,1519,4.0,159,3.0,2275,5.0,2809,4.0,5614,3.0,3219,4.0,1296,4.0,9046,4.0,1216,4.0,1169,4.0,23868,3.0,581,4.0,8830,4.0,2392,5.0,1312,20s,4,2,0,Female,1,1,Asian,Hindu,2,4,1,1,1,3,1,3,1,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
4,1.0,927,1.0,707,5.0,556,2.0,1062,1.0,1014,2.0,628,1.0,991,1.0,1259,5.0,1153,5.0,1388,5.0,740,5.0,1181,4.0,547,2.0,575,1.0,754,4.0,1140,5.0,323,5.0,1070,1.0,583,2.0,1889,20s,3,1,2,Male,1,2,White,Agnostic,1,1,1,6,0,2,0,6,2,6,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1
5,2.0,834,1.0,1769,4.0,2105,1.0,1070,5.0,1930,2.0,1258,5.0,1451,1.0,1029,3.0,1633,1.0,2254,5.0,1984,1.0,1158,3.0,1194,3.0,483,1.0,983,1.0,817,5.0,1052,1.0,1354,1.0,747,2.0,1826,40s,2,1,6,Female,1,3,White,Other,5,5,5,4,5,3,3,7,5,3,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6,1.0,1382,1.0,1473,5.0,1479,4.0,2403,1.0,616,2.0,549,5.0,390,4.0,1601,5.0,1312,1.0,1699,4.0,1229,4.0,1175,1.0,1078,4.0,341,5.0,635,2.0,1448,4.0,838,4.0,765,3.0,1954,1.0,1482,20s,2,1,3,Male,1,1,White,Atheist,2,4,3,5,1,1,3,2,1,5,2,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
7,1.0,384,1.0,908,5.0,870,1.0,1059,1.0,1266,1.0,483,1.0,592,1.0,2020,5.0,6022,5.0,2090,4.0,1767,5.0,982,5.0,1576,1.0,782,3.0,911,5.0,417,1.0,392,5.0,1510,1.0,842,1.0,1138,30s,2,1,1,Male,1,1,White,Christian_Other,3,6,0,0,0,0,0,1,2,6,2,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1
8,5.0,795,2.0,3469,4.0,1693,3.0,1991,4.0,5922,2.0,1322,5.0,1014,5.0,3014,3.0,3771,3.0,13295,5.0,3605,3.0,9265,4.0,2531,1.0,812,4.0,2595,5.0,1227,5.0,1837,4.0,1218,4.0,9923,5.0,1631,20s,4,2,0,Female,2,1,Other,Christian_Other,1,1,2,1,2,2,2,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
9,2.0,1668,1.0,866,1.0,895,1.0,1308,2.0,1715,5.0,563,5.0,574,1.0,1406,5.0,1698,3.0,1354,5.0,774,1.0,1299,1.0,810,5.0,327,1.0,646,1.0,957,4.0,850,5.0,693,1.0,1313,1.0,986,50s,3,1,3,Female,1,1,White,Christian_Other,0,1,1,2,0,3,0,4,1,5,2,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1
10,1.0,1465,1.0,7581,4.0,1345,1.0,350,3.0,1747,1.0,1096,2.0,960,4.0,2785,5.0,7188,4.0,4032,4.0,1761,5.0,1306,5.0,2089,1.0,694,2.0,1527,1.0,1335,3.0,821,5.0,1826,4.0,1259,3.0,1564,20s,4,2,2,Female,1,1,Asian,Agnostic,2,5,0,1,1,4,1,6,1,1,3,2,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1
11,3.0,1086,2.0,3020,5.0,1997,1.0,1358,1.0,1318,2.0,1855,2.0,1757,2.0,2133,1.0,4395,4.0,3332,1.0,1757,5.0,2209,4.0,1208,1.0,599,4.0,1668,2.0,1462,2.0,845,2.0,2168,5.0,1342,5.0,1691,10s,2,1,2,Male,1,1,White,Christian_Catholic,3,1,2,3,2,3,2,5,4,5,2,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1
12,2.0,466,4.0,1650,4.0,655,3.0,1241,5.0,1339,2.0,515,2.0,936,3.0,1583,5.0,1654,4.0,1676,5.0,818,5.0,1464,4.0,1153,5.0,871,5.0,937,4.0,906,4.0,1117,4.0,1278,3.0,619,5.0,1552,10s,3,2,4,Male,1,1,Asian,Muslim,2,1,1,5,0,1,0,1,3,4,2,2,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1
13,4.0,342,3.0,2676,4.0,854,4.0,7971,3.0,981,2.0,915,4.0,1047,1.0,2326,3.0,3092,3.0,1781,5.0,1269,4.0,2319,3.0,883,5.0,557,3.0,1661,4.0,1910,4.0,759,4.0,1219,3.0,2209,4.0,890,20s,3,2,2,Female,1,1,Asian,Buddhist,4,2,2,1,2,2,1,4,2,4,2,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1
14,1.0,739,4.0,2544,5.0,880,1.0,1425,1.0,1424,2.0,1032,2.0,943,1.0,629,2.0,2556,4.0,146,2.0,1586,5.0,1526,4.0,869,2.0,661,5.0,2685,5.0,989,2.0,2225,1.0,1095,5.0,1147,5.0,947,60s,3,1,3,Male,1,3,White,Christian_Other,5,0,1,1,2,5,2,4,4,6,3,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1
15,2.0,447,4.0,1316,4.0,745,1.0,526,3.0,1121,1.0,637,1.0,480,1.0,1723,2.0,1525,4.0,1109,3.0,1288,5.0,742,5.0,583,1.0,509,4.0,1305,2.0,962,4.0,1038,1.0,669,4.0,688,2.0,700,30s,4,1,4,Female,1,2,White,Atheist,6,2,1,4,4,1,5,5,1,4,2,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1
16,1.0,390,5.0,1322,5.0,1947,1.0,887,1.0,1127,2.0,978,1.0,2258,1.0,2072,5.0,1794,4.0,1954,5.0,832,5.0,1694,5.0,1189,4.0,805,1.0,933,5.0,976,5.0,435,5.0,906,1.0,1370,1.0,1936,30s,2,1,4,Male,1,2,White,Other,2,0,5,0,1,2,2,0,1,6,3,2,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
17,2.0,247,4.0,1097,3.0,2135,1.0,451,4.0,1756,2.0,409,1.0,374,1.0,948,5.0,1243,5.0,600,4.0,1284,5.0,474,5.0,749,1.0,333,5.0,380,5.0,545,4.0,880,2.0,398,5.0,556,3.0,906,10s,2,2,0,Male,1,1,Other,Hindu,5,2,5,4,1,2,4,0,2,3,2,2,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1
18,3.0,359,5.0,603,4.0,483,1.0,555,2.0,379,2.0,331,3.0,408,2.0,762,2.0,1309,5.0,653,4.0,647,5.0,645,4.0,540,4.0,233,4.0,398,4.0,517,4.0,491,2.0,526,4.0,292,4.0,373,30s,4,1,3,Female,1,1,White,Agnostic,2,2,5,2,2,1,1,1,4,3,2,2,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
